Ref;Tipo;Nickname;Nombre;Correo
US01;A;aerolineas;Aerolíneas Argentinas;servicioalcliente@aerolineas.com.uy
US02;A;aireuropa;Air Europa;reservas@aireuropa.com.uy
US03;C;anarod87;Ana;arodriguez87@netuy.com
US04;C;claire93d;Claire;claire.db@frmail.fr
US05;A;copaair;Copa Airlines;contacto@copaair.com.uy
US06;C;csexto;Cristian;csexto@adinet.com.uy
US07;C;ejstar;Emily;emily.j@hotmail.com
US08;C;hernacar;Carlos;carlosh89@mxmail.com
US09;A;iberia;Iberia;atencionclientes@iberia.com.uy
US10;C;jackwil;Jack;jack.w.90@mail.br
US11;C;juanitop;Juan;juanito.uy@correo.com
US12;A;latam;LATAM Airlines;info@latam.com.uy
US13;C;liamth;Liam;liam.t.ca@mailbox.com
US14;C;marsil14;Martín;m.silva94@webmail.uy
US15;C;martig;Marta;marta.garcia95@webmail.es
US16;C;sofi89;Sofía;sofia.lopez@correouruguay.com
US17;A;zfly;ZuluFly;info@zfly.com
